WorkerId,age,gender,race
A103RFEZROB95C,34,M,black
A103XX92AATRSG,29,F,white
A10443E11ZWEHJ,52,M,white
A10B085VKZYQJB,27,M,white
A10CWGO4F50WBY,24,F,asian
A10KMP3HHSIHQU,35,M,black
A10UOV89EVLDAM,65,F,black
A110SC5K5Y3IHS,27,M,other
A110SRJXQW7KMQ,29,F,white
A1198W1SPF1R4,51,F,asian
A11AJ8ZYQ6MR40,41,M,black
A11BLQKVW1951L,33,F,white
A11G3X4YM0CH4M,30,M,multi
A11IIS435RPN2O,42,M,asian
A11X8QV9Y8TYZE,34,F,white
A11YBW41FCLH5G,27,F,asian
A1242KIX4GFIKY,31,F,white
A1258YAV4INLP1,26,F,asian
A12ATVBE1I4567,30,M,asian
A12AXBTG45MWL2,57,F,white
A12OPH1K545YJW,30,M,white
A12QDESPJEK5BL,24,F,white
A12XMUO7UW08EK,52,F,black
A133WBYXVL7QME,26,F,asian
A13IBDCL5S1T1L,39,M,white
A13U5OK3GJ10KC,48,M,white
A142YEQ6O81P55,25,M,white
A145XQ7P617F4H,44,F,white
A146DWYRR10GAT,32,M,multi
A14E0Y5HPALKZN,32,F,white
A14GU4D1F5W031,29,F,white
A14NELG02XUU6L,18,F,black
A14UYU1DEDPY7A,19,M,black
A1591LK9JIOJU1,25,M,white
A1594R4WUZ47FJ,27,M,white
A15J1TJ75G35SR,23,F,white
A15PHPJA7AWCS3,40,M,white
A15TLEMC9O4ZUD,26,M,asian
A16FEENK26ZT6F,30,M,asian
A16JMJHOUC2MGE,47,M,white
A16K3CX6M52MR2,53,F,white
A16QTAQEEQ333L,36,M,asian
A16RQBSDX6NKND,26,M,asian
A16U37SOHYW5OS,24,F,asian
A173XG3NZ7JPT7,42,F,white
A182N7RLXGSCZG,30,M,asian
A18BT8WUOEL92Z,33,M,white
A18QKN922KQEOV,26,F,asian
A192KNMRT3IT3S,24,F,asian
A19E425WTUQ9KI,28,M,asian
A19KT2FLMKBGC1,38,M,asian
A19MQR0LQ75OOT,34,F,white
A19O7OCARDFGDS,25,M,white
A1A43SKHDYO3Y,27,M,asian
A1A6DUWWGNEE4W,25,M,white
A1A6K4NF9JKUHE,30,F,white
A1AUDWC5UM7Y3M,44,M,white
A1AXD2Q0MREL8W,42,F,asian
A1AZV2XOQK7RSW,33,F,white
A1BGCBLKBPOIU6,27,M,asian
A1BOOCWOWB9LBJ,38,M,white
A1BWO4ZG5OB68S,24,F,indian
A1C2T79XTDHE39,32,F,white
A1CSBWOZLC2KZA,49,M,asian
A1DBXS6YK8AF1X,54,F,white
A1DD3PZO5BO3EY,35,F,white
A1E1MQBUKNCKGN,33,NG,white
A1E3E1A65NPHY2,25,F,white
A1E8PIR82KIJEP,22,F,asian
A1E8UHTVL7X3IT,51,F,white
A1ECPX9J2UOXV4,22,F,white
A1EGQAMPW9N5FT,26,F,white
A1F0HIZYHTCJRB,28,F,white
A1F6TU59FGV8XP,26,F,asian
A1F7HH83A48D47,35,F,white
A1FG2G9TZSDN,46,F,white
A1FW7GH5HSMLMJ,24,M,asian
A1G2TOP4V721A5,42,M,white
A1G3BVCKXMEUPU,61,M,white
A1G5UODTVW13MM,40,M,white
A1G69P73SBVUR4,35,F,asian
A1G9ZIBMV5PLE2,38,F,black
A1GWCNUPQPA9JR,22,F,white
A1H2Y2PDEQ7OWT,58,F,white
A1H5Q9HRH4RPZU,36,M,white
A1H7K2VYEMZ3QW,40,F,asian
A1HLG5NN2I16GN,68,M,white
A1I1QEHJZ9XTKC,35,F,white
A1I5586LXU8ZKY,55,M,asian
A1IIDR9HLUB1MR,53,M,white
A1J8LGEF670RMA,24,F,asian
A1J90TOSRZ3MJA,29,F,white
A1JLHMKBGSRROO,26,F,asian
A1JPLX1KTNPGCY,22,M,white
A1KBDN6C1Q0D4U,28,M,white
A1KLU6TSJPVSR0,44,F,black
A1KRYIRDA2OOWC,45,M,black
A1LHFL40L4DQ3H,26,M,asian
A1LR71IS0QHPK3,27,M,white
A1MJX6Q6BTWA6,49,F,white
A1MXT2MRUNNEES,31,F,white
A1N1ULK71RHVMM,27,F,white
A1NKBXOTZAI1YK,32,M,white
A1NUFCOJ6FXI5K,31,M,white
A1O0VHQYOI5SRK,28,M,white
A1ODWYF1SFY8DB,34,F,white
A1OKFYVJTEK4BI,61,M,white
A1OX5KXDZAVQPJ,40,M,asian
A1PIFYLH5PAG6X,24,F,asian
A1PT6264PIYFCI,28,M,white
A1QD52YU96AQQ3,26,F,white
A1QEQ64E22TNUZ,55,F,white
A1QXU4Q3CK75FK,24,F,asian
A1RNQ5X21BF816,39,F,black
A1S65MPJSSYO6D,49,M,white
A1S88VQY8G8CNC,63,M,white
A1SC2RFB9W6BSG,32,M,white
A1SIKOXKREHIK4,24,M,asian
A1SLSQS9AXN0VR,40,F,black
A1SMYB7YESWB29,31,F,black
A1SOWXN2S9HJ2F,26,M,asian
A1SR8X4ITOBUJ3,42,F,white
A1ST216N60TLTS,50,M,white
A1TLKBW8KT7L6F,37,F,white
A1TSL31YUEIP3J,26,M,asian
A1TX6871L8FCQE,37,F,white
A1U3OIZTWRI8JD,29,F,white
A1U3UUELW55W65,26,F,asian
A1UP1IO0RGWRM3,26,F,white
A1UR1UQ6XTI0UP,32,F,white
A1UYS657H2WSZW,29,F,asian
A1V2M2C00I5SWW,41,M,white
A1V524T9T59UAR,26,M,asian
A1VAQVQBPF30T2,26,M,white
A1VBZWAHLWQMXM,53,M,black
A1WAWEY2810TFN,43,F,white
A1WS21O0Y7H241,21,F,white
A1WS4ONTCJ1ZG5,27,F,asian
A1WSSSEYTPLEUW,26,F,asian
A1X9X6JCC0UEKM,35,F,white
A1XHFQKX09Y1RD,54,F,white
A1XJKGLSPFWRBT,29,M,white
A1XOG82RCTNFL7,28,M,white
A1YJ3OR8SAW41L,24,M,asian
A1YN3AGDWAB1ZE,48,F,white
A1YX763SX4292N,24,F,white
A1YXQDZYCKILTT,38,F,white
A1Z0WPKCBBHDPU,24,F,asian
A1Z12SGB1WMXHK,38,M,white
A1ZE52NWZPN85P,33,M,white
A1ZUMDIFIZNMF0,22,F,asian
A1ZYJ9H5USAI8P,53,F,white
A203H7L1KFBL1A,23,F,white
A20QXCW2IQ1JTI,44,F,white
A20TA8YNLKVHOS,39,M,multi
A20UYKIB5PQFJ1,30,F,white
A2151NHZZD018M,35,M,black
A21GWSMKFQCFLC,38,M,asian
A21VJKREB3CBVH,46,M,white
A223BBAD3U6QFR,37,F,white
A22EONKWYRJTYP,24,F,asian
A22UTVPLLXJKLT,24,M,asian
A22X2KTR6Y8ZGJ,20,M,multi
A233KQOP9UND2P,33,F,white
A238KV0ZMJCJ6I,40,F,asian
A23J0BNIK7TB1N,36,F,hawaiian
A23OR0D1FCUVMM,64,M,white
A2461V1TFLCLTB,29,F,black
A249CE68FWLKQK,34,F,hispanic
A24IVERHCL36M8,33,F,white
A24XE3JSRCGLMD,36,F,black
A25BRCS2JF0P0A,29,F,white
A25GCMVNRFBG01,21,M,white
A25I2ZBEGDF0WS,32,F,black
A25M5RTEQ6ZNRG,27,M,asian
A25RMSY7UX6MWV,26,M,asian
A267SCN7MD0CRX,24,F,asian
A26A4HQXUN51VY,37,F,white
A26TXQC04T5AAS,28,F,white
A26YXLMZ98ABQO,26,M,asian
A277JAOM353NAV,21,M,white
A277KN9SYH1OLP,51,F,multi
A27ERO97G61M54,28,M,white
A27O7H19C0WQ7T,37,F,white
A27QGKZKM6AE8L,30,F,indian
A27SRSSZ8JXUHM,42,M,white
A2807HUMU6JG6Z,24,M,asian
A2852RLME6S2IX,26,F,hispanic
A28GR692FURDKO,39,M,asian
A28VRECAUOO7U9,68,F,white
A2911GRDDTKVUG,24,F,asian
A29SAH3AP7HTSS,60,M,white
A29T44BE3HIGH7,30,F,black
A2A2N3PDW4UYWM,43,F,white
A2A3HUY3YYKG2C,35,M,white
A2ADZEAP130MI2,58,F,white
A2AHE3I9FC9MK8,45,F,white
A2B4NOB02ERQCL,41,F,asian
A2B6OA4V8YABCZ,24,M,asian
A2B7KSSF87YRBG,30,M,asian
A2BB9SHJKRYRAM,29,M,multi
A2BJIR7XIO7CJR,23,M,white
A2BLQ1GVEHJR8T,65,F,white
A2BX8RJDS9GYZ1,41,F,white
A2C58H88W1NAO,31,F,white
A2C9TGV269GPDC,34,M,asian
A2CAFRYOTJIY5C,24,F,white
A2CISHIOILFDHN,32,F,multi
A2CN2V295GTNN9,32,NG,white
A2D0V7HDG9LVKP,26,M,white
A2DFXQ3QVQ9ELH,36,M,white
A2DHXLLSAHT3TF,40,M,white
A2DLH5XGBNYXWS,48,F,white
A2DPNKRTDSDF7X,29,M,white
A2DT1Y0XOGKPS5,28,M,asian
A2DVJ6OMVVYTC7,30,M,hispanic
A2DZ2Y7IWDFHIC,52,F,white
A2E8U8ZMA246U1,30,F,white
A2ECLO3CWAYFR5,29,M,white
A2ECVZRMEP8Z48,28,M,hispanic
A2EQVOOEAXG3MF,24,M,asian
A2FBJV1VAI9SQ6,29,F,white
A2FEF4UZVF9ZC5,26,F,white
A2FI5NYMCBZCQJ,29,F,white
A2FXCHFRZAKJY2,24,F,white
A2G0GEZRMR8V66,26,F,white
A2G7XPM051Q1XB,47,F,white
A2GD1F3YOMRO7Z,63,M,asian
A2GOYSTIL3LOV1,44,F,white
A2GP9WCP2ZMRLI,38,F,asian
A2GQF8D73PWOJI,45,F,black
A2GSLJEIPG3QD9,41,M,white
A2HJDLSU95MH8Q,61,F,white
A2HUTXBZ4YCVYT,28,F,asian
A2HV1MJAC4TG,39,M,white
A2HW091V0CAORX,44,M,white
A2I78BA4JY0A7F,39,F,white
A2I988BSR2YYU3,62,F,white
A2IKZUG69SPJXO,32,F,multi
A2IY0J2MOTEJJB,28,F,asian
A2J37FCRL0S479,35,F,indian
A2J5YJCFT6HX7M,21,F,hispanic
A2J65ZHAJQDKAC,55,F,black
A2J84AUK1GVTEA,33,F,white
A2J92I8PSCDFCC,54,F,white
A2J930MWXZWZNW,27,F,asian
A2JKM9ZTUWHVPF,24,M,black
A2JRXRT0EBP2IA,29,F,asian
A2JZ65LTUMRMNV,20,F,white
A2K9NNZQY3MGD3,59,F,white
A2KDGFZOTUVLKB,27,M,black
A2KRBV7BXB6EO3,29,F,white
A2KRPUB5FLF772,26,M,white
A2KYG17AZKIL3Y,57,M,white
A2L4PDTJOHV8IC,26,F,asian
A2LBH2X1DIWOD,55,F,white
A2LXH22NMQ1ECA,30,F,white
A2M0II20JK7R13,31,F,white
A2M47ONTL35B3A,61,F,white
A2MMRMD7GUALB1,39,F,white
A2MT0EBEHD9XGZ,26,M,asian
A2N9U74YIPDQ9F,52,F,white
A2NKW6JBEM4LL4,35,M,white
A2NPE9TTC2LZ4I,31,F,white
A2NWNC36JFEINZ,22,F,white
A2O3X8MPGRUTGP,18,M,white
A2O7HACW83WJK9,59,M,white
A2OBQ9KZ4GIHUG,32,M,white
A2OLM3IAEDU460,31,F,white
A2OME1K64OSP9K,67,F,white
A2OPV173ISAT0D,42,F,white
A2P5R40NOOZ4HJ,29,M,asian
A2P791EA88YGSV,33,F,asian
A2P7IU3JLL4VW2,24,M,asian
A2PG905Y8POB3C,34,M,asian
A2PW4RPTC8K2DD,26,F,asian
A2Q2RUVS9ST8MT,26,F,white
A2Q9ZYTR8B7EQQ,37,M,white
A2QORPF2QKQL6H,32,M,white
A2QU0ASAUX4S64,24,F,asian
A2QY32EZTEUMRU,26,M,asian
A2R5CRD8Z19E3X,24,F,asian
A2RI0A23GBPJSD,28,F,white
A2S4LCNVIA81G3,41,F,white
A2SFJC5XDHT748,24,M,white
A2SI93H28TVPLS,28,M,asian
A2SMIHP3I6PKL8,33,F,black
A2T33L23VT78DZ,28,M,asian
A2TKHXY755FAM,43,F,multi
A2TLQXGIO2LJ91,48,F,white
A2TV4MWIOBMNMS,36,F,white
A2TZAXWOB3JMNV,45,F,white
A2TZDN1NZBZ3V6,24,M,asian
A2U31V169A20GY,33,F,white
A2UES1POFN54DP,35,M,white
A2UF2FRGVW4T89,46,M,black
A2UIRQTM2V9F7V,37,M,white
A2UK6SLUS8P0H2,27,F,multi
A2UNVICZT8DKKD,28,M,asian
A2VEUYSAOYJJDC,33,F,white
A2VFQ8DS884HLX,28,M,asian
A2VX9QCUTQ2R04,37,M,asian
A2W31ZT24O8Y66,18,M,white
A2W8GMF7F98EYP,26,F,asian
A2WPCXF5IEGMFG,24,F,asian
A2X61ARPDQ7ZWX,24,M,white
A2X6M86NB41KSY,23,M,white
A2XU1TSQD45EB4,32,M,white
A2Y344XH3UDJ9B,68,F,white
A2Y6XCSXC16EZY,27,F,white
A2Y7D5EQ8QD8A3,29,F,white
A2Y7U5R8MVHTBE,30,M,white
A2YDQBA23C2D94,29,M,hispanic
A2YZHBU3XTPYWZ,27,M,asian
A2Z7WWYPGEHOJ2,37,F,white
A2ZPPP0XVV8C0W,23,M,other
A2ZPSPA0R8KSL8,41,M,white
A300YU98I2WEL4,32,M,white
A304S6RPVBSZRV,24,M,asian
A30571L03D0VDA,29,F,white
A30HBKEDOLTJ9K,35,F,asian
A30I1I65ASF6BQ,30,M,asian
A30NX5HEQGGFPP,57,M,asian
A315BL34XME4SS,24,M,asian
A317RA15E0SZ4P,37,M,asian
A31GW1DTYUZ9HD,31,F,white
A31JM9RECQGYEX,40,F,white
A31MIOD1NTW06H,29,F,white
A323N9NG19N65D,23,M,white
A331MFGLEMJB5T,29,F,asian
A338D4KCYBZPB7,35,F,black
