workerid|(2.0, 1.0, 1)|(2.0, 0.0, 1)|(1.0, 0.0, 1)|(2.0, 0.0, 0)|(1.0, 0.0, 0)|(1.0, 1.0, 1)|(3.0, 0.0, 0)|(1.0, 1.0, 0)|(2.0, 1.0, 0)|(3.0, 0.0, 1)|(4.0, 0.0, 1)|(3.0, 1.0, 0)|(4.0, 0.0, 0)|(3.0, 1.0, 1)|(5.0, 0.0, 0)|
88582665|0100010-------------------------------|110000-----------------------------------------------------------------------------------------------------------|1000-----------------------------------------------------------------------------------------------------------------------------------------------|00000110101011-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0010000010----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|000---------------------------------------|0--------------------------------------|000-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
56723448|0100110-------------------------------|010011-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|11110110011011-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0111010000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|100---------------------------------------|0--------------------------------------|110-------------------------------------------------------------------|0-------------------------------|-----|----------|--|-|-|
25567563|1000110-------------------------------|010000-----------------------------------------------------------------------------------------------------------|1010-----------------------------------------------------------------------------------------------------------------------------------------------|00101110001110-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|1110111000----------------------------------------------------------------------------------------------------------------------------------------------|0--------------------------------------|110---------------------------------------|0--------------------------------------|100-------------------------------------------------------------------|0-------------------------------|-----|----------|--|-|-|
80393085|0100110-------------------------------|010010-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|11100110001011-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|1110111000----------------------------------------------------------------------------------------------------------------------------------------------|0--------------------------------------|111---------------------------------------|0--------------------------------------|110-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
71312801|1010011-------------------------------|110000-----------------------------------------------------------------------------------------------------------|1000-----------------------------------------------------------------------------------------------------------------------------------------------|11100110001001-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|1110111010----------------------------------------------------------------------------------------------------------------------------------------------|0--------------------------------------|110---------------------------------------|0--------------------------------------|110-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
93745399|0000010-------------------------------|010100-----------------------------------------------------------------------------------------------------------|1000-----------------------------------------------------------------------------------------------------------------------------------------------|11100110011011-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0100011000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|110---------------------------------------|0--------------------------------------|110-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
43832508|1100110-------------------------------|110110-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|10101111001110-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0110111000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|110---------------------------------------|0--------------------------------------|110-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
10692426|1100110-------------------------------|000010-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|10100110001010-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0100011000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|100---------------------------------------|0--------------------------------------|000-------------------------------------------------------------------|0-------------------------------|-----|----------|--|-|-|
35878886|0100110-------------------------------|110001-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|10110110011011-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0111011000----------------------------------------------------------------------------------------------------------------------------------------------|0--------------------------------------|110---------------------------------------|0--------------------------------------|011-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
27215815|0000010-------------------------------|000110-----------------------------------------------------------------------------------------------------------|0100-----------------------------------------------------------------------------------------------------------------------------------------------|01000101000100-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0000001000----------------------------------------------------------------------------------------------------------------------------------------------|0--------------------------------------|100---------------------------------------|0--------------------------------------|000-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
