,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
category,
,1-13,1-2,1-3,1-4,2-17,2-3,2-4,3-5,3-4,4-9
,1-14,1-17,1-5,1-9,2-18,2-5,2-9,3-6,3-9,4-10
,1-15,1-18,1-6,1-10,2-19,2-6,2-10,3-7,3-10,4-11
,1-16,1-19,1-7,1-11,2-20,2-7,2-11,3-8,3-11,4-12
,13-14,1-20,1-8,1-12,17-18,2-8,2-12,5-6,3-12,9-10
,13-15,13-2,13-3,13-4,17-19,17-3,17-4,5-7,5-4,9-11
,13-16,13-17,13-5,13-9,17-20,17-5,17-9,5-8,5-9,9-12
,14-15,13-18,13-6,13-10,18-19,17-6,17-10,6-7,5-10,10-11
,14-16,13-19,13-7,13-11,18-20,17-7,17-11,6-8,5-11,10-12
,15-16,13-20,13-8,13-12,19-20,17-8,17-12,7-8,5-12,11-12
,,14-2,14-3,14-4,,18-3,18-4,,6-4,
,,14-17,14-5,14-9,,18-5,18-9,,6-9,
,,14-18,14-6,14-10,,18-6,18-10,,6-10,
,,14-19,14-7,14-11,,18-7,18-11,,6-11,
,,14-20,14-8,14-12,,18-8,18-12,,6-12,
,,15-2,15-3,15-4,,19-3,19-4,,7-4,
,,15-17,15-5,15-9,,19-5,19-9,,7-9,
,,15-18,15-6,15-10,,19-6,19-10,,7-10,
,,15-19,15-7,15-11,,19-7,19-11,,7-11,
,,15-20,15-8,15-12,,19-8,19-12,,7-12,
,,16-2,16-3,16-4,,20-3,20-4,,8-4,
,,16-17,16-5,16-9,,20-5,20-9,,8-9,
,,16-18,16-6,16-10,,20-6,20-10,,8-10,
,,16-19,16-7,16-11,,20-7,20-11,,8-11,
,,16-20,16-8,16-12,,20-8,20-12,,8-12,
